Image,BlockSize,Mode,PSNR,Bhattacharyya,Chi2,Time(min:sec)
karmine.pgm,64,0,11.5906,0.174248,0.449321,0:3
karmine.pgm,64,1,13.7575,0.0114547,0.0423201,0:5
karmine.pgm,64,2,13.6342,0.0109029,0.039735,0:6
street.pgm,64,0,10.8898,0.0396402,0.146635,0:1
street.pgm,64,1,11.3717,0.00673435,0.0263002,0:3
street.pgm,64,2,11.3784,0.00593315,0.0232179,0:2
cake.pgm,64,0,12.0159,0.121309,0.314352,0:2
cake.pgm,64,1,12.9299,0.00600456,0.0234151,0:4
cake.pgm,64,2,12.7769,0.00570839,0.0222649,0:4
airport.pgm,64,0,11.5717,0.0796392,0.243353,0:1
airport.pgm,64,1,12.9054,0.0100824,0.0379211,0:3
airport.pgm,64,2,12.9133,0.0102837,0.0387391,0:3
teach.pgm,64,0,12.7866,0.072107,0.203458,0:10
teach.pgm,64,1,13.2094,0.00551322,0.0216768,0:15
teach.pgm,64,2,13.126,0.005615,0.0219893,0:17
chat2.pgm,64,0,12.0828,0.15166,0.364306,0:10
chat2.pgm,64,1,13.8758,0.00863052,0.0335202,0:18
chat2.pgm,64,2,13.808,0.00865715,0.033623,0:17
ski.pgm,64,0,12.6114,0.31461,0.717765,0:1
ski.pgm,64,1,13.0447,0.0285973,0.100796,0:2
ski.pgm,64,2,13.0818,0.0289353,0.101358,0:2
groot.pgm,64,0,12.0682,0.110356,0.27361,0:10
groot.pgm,64,1,14.577,0.00677989,0.0213537,0:14
groot.pgm,64,2,14.3773,0.00749187,0.0220836,0:16
chat.pgm,64,0,12.4764,0.146835,0.405233,0:2
chat.pgm,64,1,13.963,0.00808885,0.0304391,0:5
chat.pgm,64,2,13.3732,0.00764591,0.0279122,0:5
oiseau.pgm,64,0,12.1614,0.0881238,0.281283,0:1
oiseau.pgm,64,1,14.7475,0.00290416,0.0108886,0:2
oiseau.pgm,64,2,14.7213,0.00302731,0.0112528,0:3
papa noel.pgm,64,0,10.2434,0.0438743,0.152862,0:2
papa noel.pgm,64,1,10.6096,0.00394914,0.0155771,0:4
papa noel.pgm,64,2,10.527,0.00381511,0.0150286,0:5
katchao.pgm,128,0,10.6356,0.040567,0.141174,0:1
katchao.pgm,128,1,10.8267,0.00739609,0.0288705,0:6
katchao.pgm,128,2,10.9046,0.00615262,0.0239654,0:5
ferrari.pgm,128,0,14.0642,0.130822,0.401034,0:1
ferrari.pgm,128,1,10.6114,0.0308884,0.115889,0:6
ferrari.pgm,128,2,10.5381,0.031129,0.116682,0:7
wpuech.pgm,128,0,10.3981,0.0292666,0.0977237,0:2
wpuech.pgm,128,1,11.7221,0.0016428,0.0065241,0:8
wpuech.pgm,128,2,11.677,0.00154065,0.0061157,0:8
glorp.pgm,128,0,11.3307,0.0990779,0.269812,0:0
glorp.pgm,128,1,12.572,0.0381171,0.129897,0:1
glorp.pgm,128,2,12.572,0.0381171,0.129897,0:1
karmine.pgm,128,0,10.6145,0.216937,0.547872,0:1
karmine.pgm,128,1,11.73,0.0103263,0.0367663,0:4
karmine.pgm,128,2,11.5254,0.0103109,0.0371956,0:5
street.pgm,128,0,10.2519,0.0554017,0.198123,0:0
street.pgm,128,1,10.1915,0.0069094,0.0271852,0:2
street.pgm,128,2,10.3306,0.00697909,0.0274808,0:2
cake.pgm,128,0,10.3018,0.120389,0.325561,0:0
cake.pgm,128,1,10.9537,0.00862,0.0327515,0:2
cake.pgm,128,2,10.814,0.00706348,0.026819,0:2
airport.pgm,128,0,11.3615,0.0667211,0.213779,0:0
airport.pgm,128,1,12.315,0.0120196,0.044857,0:2
airport.pgm,128,2,11.9267,0.0117235,0.0445873,0:2
teach.pgm,128,0,11.9433,0.0574257,0.162213,0:2
teach.pgm,128,1,12.5748,0.00564574,0.0220284,0:11
teach.pgm,128,2,12.5303,0.00511899,0.0199516,0:13
chat2.pgm,128,0,11.1707,0.147468,0.353173,0:3
chat2.pgm,128,1,12.711,0.00869773,0.0329461,0:12
chat2.pgm,128,2,12.5548,0.00868595,0.0324751,0:14
ski.pgm,128,0,12.1636,0.359504,0.818052,0:0
ski.pgm,128,1,14.0216,0.0202229,0.0768941,0:2
ski.pgm,128,2,13.6349,0.0210768,0.0799155,0:2
groot.pgm,128,0,11.944,0.0922815,0.234145,0:2
groot.pgm,128,1,13.7392,0.0048335,0.0165004,0:9
groot.pgm,128,2,13.8198,0.00552455,0.0172793,0:11
chat.pgm,128,0,11.0765,0.150966,0.411867,0:0
chat.pgm,128,1,12.0873,0.0081987,0.031176,0:3
chat.pgm,128,2,12.0386,0.00617937,0.0227178,0:3
oiseau.pgm,128,0,11.9633,0.0700715,0.21405,0:0
oiseau.pgm,128,1,14.1462,0.00400863,0.015708,0:2
oiseau.pgm,128,2,13.9015,0.00303484,0.0116015,0:2
papa noel.pgm,128,0,10.0185,0.0465253,0.153889,0:0
papa noel.pgm,128,1,9.19561,0.00484901,0.0192044,0:2
papa noel.pgm,128,2,9.31017,0.00482853,0.0190413,0:2
